Day,Word,Meaning (KR),Synonyms
2,stagnation,침체,"low growth, downturn"
2,innate,선천적인,"inborn, natural, native"
2,obsolete,쓸모없게 된; 쓰이지 않는,"out of date, outdated; unused"
2,specify,명시하다,"state, define, stipulate"
2,endure,견디다; 지속하다,"tolerate, survive, suffer, persevere; last, continue, persist"
2,conceivable,생각할 수 있는,"imaginable, thinkable, possible"
2,sufficiently,충분히,"adequately, amply, satisfactorily"
2,entail,(필연적으로) 수반하다,"involve, cause"
2,depict,묘사하다,"picture, portray, represent"
2,integration,통합,"union, unification"
2,stockpile,비축하다,"store up, save, reserve"
2,capture,붙잡다,"seize, catch, trap, grab"
2,landscape,풍경,"scenery, scene, view"
2,elaborately,정교하게,with great detail
2,autonomous,자율적인,"independent, self-determining"
2,boom,갑자기 번창하다,"flourish, thrive, prosper"
2,supremacy,우위,"dominance, predominance, ascendancy"
2,ravage,파괴하다,"destroy, demolish, devastate, ruin"
2,authority,"권위자, 대가","expert, master, specialist"
2,plug,"메우다, 채우다","fill up, stuff, pack"
2,discrepancy,불일치,"inconsistency, disparity, dissimilarity"
2,elucidate,명료하게 설명하다,"clarify, explain, make clear"
3,simultaneous,동시의,"concurrent, happening at the same time, synchronous"
3,vast,"광대한, 거대한","extensive, immense, great, huge, enormous"
3,reluctant,꺼리는,"unwilling, disinclined, loath"
3,conjecture,추측,"speculation, guess, supposition"
3,embed,박아 넣다,"fix, insert, implant, root"
3,vow,"서약, 맹세","pledge, promise, oath"
3,counter,반박하다,"oppose, act against, refute"
3,apparent,분명한; 외관상의,"clear, evident, obvious; seeming, exterior, superficial"
3,bombard,"폭격하다, 공격하다","strike, assail, attack"
3,reveal,"밝히다, 드러내다","make known, show, unveil, uncover, expose"
3,sturdy,튼튼한,"well-built, strong, robust, stalwart"
3,traditionally,"통상적으로, 관습적으로",typically
3,correspondingly,그에 상응하여,"similarly, likewise"
3,trigger,일으키다,"cause, generate, initiate, start, stimulate, activate"
3,vigorous,"강건한, 활기찬; 강력한","strong and healthy, energetic; forceful"
3,spontaneous,"자발적인; 무의식적인, 저절로 움직이는","voluntary, unprompted; automatic, unplanned, involuntary"
3,miniature,소형의,"small, tiny, diminutive"
3,commission,의뢰하다,"order, hire"
3,remarkable,"놀라운, 주목할 만한","extraordinary, incredible, notable, significant"
3,effort,노력,"attempt, endeavor, exertion"
3,manifestation,징후,"indication, sign, symptom, evidence"
3,prior,이전의,"previous, former, earlier"
3,cast about,찾아다니다,"seek, search, hunt"
3,rigorous,엄격한; 혹독한,"strict, severe, demanding, precise; harsh"
3,compulsory,"의무적인, 강제적인","obligatory, forced, required, necessary"
3,subsidiary,부수적인,"less important, auxiliary, subordinate"
3,status,"지위, 위신","standing, prestige, importance"
3,emphasize,강조하다,"stress, highlight, underline"
3,largely,대부분,"generally, mostly, mainly"
3,experimental,시험적인,"trial, tentative"
3,drain,물을 빼내다,"withdraw liquid gradually, remove water"
3,denote,"나타내다, 표시하다","indicate, signify, represent"
3,repudiate,거부하다,"reject, disclaim"
3,contradictory,모순되는,"inconsistent, paradoxical, conflicting"
3,propagate,"번식하다, 증식시키다","multiply, reproduce"
3,ensure,보장하다,"guarantee, assure, warrant"
3,pore,"작은 구멍; 자세히 보다, 응시하다","hole; stare, gaze"
3,alternate,번갈아 일어나다,"take turns, rotate, interchange"
3,devastating,파괴적인,"destructive, ruinous"
3,mingle with,~와 어울리다,"associate with, mix with, consort with"
3,continued,계속적인,"ongoing, constant, incessant, ceaseless"
3,attempt,시도하다,"try, seek, endeavor"
3,subterfuge,속임수,"trick, deception"
3,convert,바꾸다,"change, transform"
3,contention,논쟁,"debate, argument, disagreement"
3,migrate,이주하다,"move around, travel"
3,succession,연속,"sequence, series"
3,tentativeness,망설임,"hesitation, indecision"
3,fragmentary,단편적인,"incomplete, fractional, partial"
3,legendary,"유명한, 전설적인; 전설상의",famous; mythical
3,setback,패배,"defeat, reverse"
3,fine-tune,미세하게 조정하다,adjust slightly
3,enthusiastic,열광적인,"eager, ardent, zealous"
3,loose,느슨한,"not strict, relaxed, slack"
3,portrait,초상화,picture
3,terminology,전문 용어,"vocabulary, jargon, language"
4,readily,"손쉽게, 즉시; 기꺼이","easily, effortlessly, quickly; willingly, without reluctance"
4,advocate,지지하다; 지지자,"promote, speak in favor of, argue in support of; proponent, supporter, upholder"
4,utterly,완전히,"completely, totally"
4,abound,"아주 많다, 풍부하다","overflow, teem, be plentiful, be numerous"
4,formidable,"어마어마한, 경외감을 일으키는; 만만치 않은, 감당하기 어려운",impressive; difficult to handle
4,enormous,거대한,"huge, very large, great, immense, vast, tremendous"
4,disband,해산시키다,"dismiss, disperse, break up"
4,alleged,추정의,"supposed, assumed"
4,renowned,유명한,"famous, celebrated, prominent, eminent"
4,versatile,"융통성 있는, 다방면의","adaptable, flexible"
4,prohibitive,값이 엄청나게 비싼,"unaffordable, extreme, exorbitant"
4,option,선택(권),"choice, selection"
4,inherent,"타고난, 본래의","innate, built-in, essential, congenital"
4,justly,"공정하게, 정당하게","rightfully, justifiably, lawfully"
4,provoke,불러일으키다,"incite, bring about, give rise to"
4,impermeable,"침투되지 않는, 통과시키지 않는","impenetrable, impervious"
4,momentous,중대한,"significant, major, meaningful, substantial"
4,forestall,미연에 방지하다,"prevent, hinder, avert"
4,therefore,그 결과,"consequently, as a result, thus, hence"
4,persuade,설득하다,"convince, induce"
4,proximity,가까움,"closeness, nearness"
4,dependable,신뢰할 수 있는,"reliable, trustworthy"
4,ensuing,"뒤이은, 다음의","subsequent, following, succeeding"
4,appreciably,상당히,"noticeably, significantly, considerably"
4,obligate,"의무를 지우다, 강요하다","force, coerce, compel, constrain"
4,wholesale,"대규모의; 모조리, 통틀어서","extensive, mass; completely"
4,dweller,거주자,"inhabitant, resident, occupant"
4,tacit,"무언의, 암묵적인","implicit, implied, unspoken"
4,resolve,해결하다,"settle, find a solution for, solve"
4,merit,(칭찬할 만한) 가치,"value, worth, virtue"
4,notion,"개념, 견해","concept, general idea, opinion, view"
4,synthesize,통합하다,"integrate, combine, coalesce"
4,spectrum,범위,"range, scope, extent"
4,stream,흐름,"flow, current"
4,rupture,"파열되다, 터지다; 불화","burst, break apart, split, tear; breach, discord"
4,presuppose,(미리) 가정하다,"assume, suppose, presume"
4,well-to-do,부유한,"wealthy, affluent, rich"
4,appeal,간청하다,"plead, request, ask, beg"
4,accurately,정확하게,"correctly, precisely, exactly"
4,fastidious,까다로운,"demanding, choosy"
4,contraction,"감소, 축소","reduction, diminution"
4,stimulus,자극(제),"impetus, motivation, incentive, incitement"
4,track,"뒤쫓다, 추적하다","follow, chase, monitor"
4,tame,길들이다,"domesticate, train"
4,install,설치하다,"put in place, set up, position"
4,chronicle,"기록, 연대기","record, history"
4,novel,"새로운, 신기한","new, innovative, unusual"
4,isolated,외딴,"remote, solitary, secluded"
4,exposed,"드러난, 노출된","visible, revealed, uncovered"
4,intermingled,섞인,"mixed, combined, blended"
4,succulent,즙이 많은,"juicy, pulpy"
4,homogeneous,"동종의, 균질의","unvarying, akin"
4,era,시대,"period, epoch, age"
4,threat,위협,"threat, intention to harm, menace"
4,foul,더럽히다,"pollute, contaminate"
4,prey,희생자,victim
4,practically,거의,nearly
5,compelling,설득력 있는,"convincing, persuasive, cogent"
5,ultimately,"마침내, 결국","eventually, finally, in the end, lastly"
5,bulk,"큰 규모, 대량; 대부분","mass, large quantity, great quantity; majority, main part"
5,incompatible,양립할 수 없는,"in conflict, discrepant, contradictory"
5,substantially,상당히; 대체로,"significantly, considerably; largely, mainly"
5,seek,"찾다, 조사하다; 시도하다, 노력하다","look for, search for, pursue; attempt, try, essay"
5,unanticipated,예상하지 못한,"not expected, unforeseen"
5,merge,"합치다, 융합하다","combine, blend, fuse"
5,encounter,"마주치다, 부닥치다","meet (with), experience, confront, face"
5,residue,잔여물,"remains, remnant, remainder"
5,circumstance,상황,"condition, situation"
5,astonishing,"놀라운, 눈부신","incredible, amazing, startling, astounding"
5,intermittently,간헐적으로,"occasionally, periodically, from time to time"
5,application,"응용, 이용","use, utilization, employment"
5,predominant,"주된, 주요한","principal, main, primary, leading"
5,remote,멀리 떨어진,"distant, secluded, removed"
5,inordinate,과도한,"excessive, exorbitant, undue"
5,launch,시작하다,"start, begin, initiate, commence"
5,trend,"경향, 추세","tendency, inclination, direction"
5,embodiment,"전형, 구체화된 것","concrete example, epitome"
5,colonize,(동·식물이) 서식하다; 식민지화하다,"inhabit, populate; conquer"
5,affect,영향을 미치다,"influence, impact, act on"
5,speculation,추측,"supposition, conjecture, surmise"
5,compound,"(정도를) 더하다, 악화시키다","add to, intensify, worsen"
5,fascinating,매혹적인,"extremely attractive, captivating, enthralling"
5,constellation,"(유사한 것들의) 모임, 무리","collection, combination, group"
5,unconsolidated,굳지 않은,"loose, incoherent"
5,outstanding,"뛰어난; 미지불의, 처리되지 않은","excellent, remarkable, prominent; unpaid, unsettled, owing"
5,outcome,결과,"result, consequence, conclusion"
5,document,"문서, 기록","record, report, paper"
5,intrinsically,본질적으로,"fundamentally, essentially"
5,disputatious,논쟁을 좋아하는,"contentious, argumentative, quarrelsome"
5,diverse,"다양한, 다른","varied, various, manifold, dissimilar"
5,eerie,기묘한,"odd, strange"
5,tenuous,빈약한,"weak, insubstantial"
5,eradicate,근절하다,"(completely) remove, root up, extirpate, eliminate"
5,prone to,~하기 쉬운,"susceptible to, likely to get"
5,lodge,박히다,"embed, implant"
5,gather momentum,탄력이 붙다,"make progress, gain impetus"
5,viable,생존 가능한,able to survive
5,impediment,장애물,"obstacle, obstruction, barrier"
5,arid,메마른,"dry, barren, sterile, waterless"
5,credible,믿을 수 있는,"believable, reliable, plausible"
5,vacate,"떠나다, 비우다","abandon, evacuate, void"
5,cushion,"보호하다, 충격을 완화하다","protect, buffer"
5,peculiar,"특유의, 독특한; 이상한","unique, distinct, particular; strange, unusual, odd"
5,attributable to,~에 기인하는,"caused by, ascribable to"
5,enact,(법률 등을) 제정하다,"make into law, establish, pass, adopt"
5,stratified,층으로 이루어진,layered
5,with regard to,~에 관하여,"in terms of, with respect to, concerning"
5,turbulent,격동하는,"violent, agitated, tumultuous"
5,appraisal,평가,"evaluation, assessment, estimation"
5,erroneous,잘못된,"wrong, incorrect, mistaken, false"
5,proponent,지지자,"supporter, advocate, adherent, partisan"
5,absolute,"절대적인, 완전한","unqualified, complete, utter"
5,gratify,"만족시키다, 기쁘게 하다","satisfy, please"
6,disperse,흩어지게 하다; 퍼뜨리다,"scatter, dissipate; spread, disseminate"
6,adjacent,인접한,"nearby, neighboring, adjoining"
6,sequence,연속; 순서,"progression, series, string, succession; order"
6,detect,"발견하다, 인지하다","discover, find, identify, recognize, sense"
6,flexible,유연한; 적응성 있는,"pliable, bendable; adaptable, adjustable"
6,surpass,능가하다,"exceed, outrun, excel"
6,invariable,변함없는,"constant, consistent, unchanging"
6,dramatic,"극적인, 인상적인","striking, significant, impressive"
6,master,습득하다; 제어하다,"learn thoroughly, acquire; control, manage"
6,assimilate,"(지식 등을) 흡수하다, 이해하다","absorb, take in, digest"
6,overwhelming,"압도적인, 굉장한","powerful, enormous, compelling, tremendous"
6,curious,"호기심이 강한; 이상한, 별난","inquisitive, questioning; strange, mysterious, extraordinary"
6,alteration,"변화, 수정","change, modification"
6,consequence,결과; 중요성,"result, effect, outcome; importance, significance"
6,deceive,속이다,"mislead, delude, cheat"
6,ample,"넓은, 광대한; 풍부한","sizable, large, spacious, vast; plentiful, abundant"
6,resilient,금방 회복하는,"quick to recover, easy to recover"
6,detach,분리하다,"separate, disconnect, disengage"
6,account,"기술, 보고","description, report, narrative"
6,equilibrium,균형,"balance, symmetry"
6,surmise,추측하다,"infer, guess, speculate, suspect"
6,unsuitable,적합하지 않은,"inappropriate, unfit, improper"
6,imaginative,창의적인,"creative, inventive, original"
6,imposing,인상적인,"impressive, striking"
6,vitality,활력,"energy, liveliness, vigor"
6,vehicle,"수단, 매체","means, medium, instrument"
6,hitherto,지금까지,"previously, so far, until now"
6,plague,괴롭히다,"cause a problem for, bother, annoy"
6,domain,영역,"area, field"
6,indifferent,무관심한,"uninterested, unconcerned, careless"
6,champion,옹호하다,"support, promote, advocate, endorse"
6,deteriorate,악화되다,"get worse, degenerate"
6,assault,"폭행하다, 공격하다","attack, aggress, assail"
6,appropriate,적절한,"suitable, proper, applicable"
6,adept,능숙한,"skillful, proficient, deft, adroit"
6,indeed,사실은,"in truth, in fact"
6,pursuit,"취미, 오락","interest, pastime, hobby"
6,incite,자극하다,"stimulate, provoke, inflame, spur"
6,guarantee,보장하다,"ensure, secure, warrant"
6,prosperity,번영,"economic well-being, wealth, fortune"
6,primarily,"주로; 원래, 처음에","mostly, mainly, chiefly; originally, at first, initially"
6,erupt,폭발하다,"explode, burst, blow up"
6,trace,"자취, 흔적","evidence, vestige, mark"
6,prestigious,명성이 있는,"highly regarded, esteemed, respected"
6,shape,형성하다,"affect, form, influence"
6,inflict,"주다, 가하다","cause, administer, exact"
6,portion,부분,"part, segment, fragment"
6,coincidence,우연의 일치,chance happening
6,propel,몰아대다,"push, force, drive, impel"
6,thoroughly,"철저히, 완전히","completely, entirely"
6,contemplate,곰곰이 생각하다,"consider, ponder"
6,unethical,비윤리적인,"improper, immoral"
6,replicate,"모사하다, 복제하다","reproduce, copy, duplicate"
6,hasty,"황급한, 서두르는","hurried, rushed"
6,representative,"나타내는, 전형적인","indicative, typical, exemplary"
6,range,범위,"scope, spectrum, extent"
7,considerable,상당한; 중요한,"substantial, large; meaningful, significant"
7,dominate,지배하다; 압도적으로 우세하다,"control, govern, rule; be widespread in"
7,ratio,비율,"proportion, rate, percentage"
7,duplicate,복제하다; 되풀이하다,"copy, reproduce, imitate; repeat"
7,barely,거의 ~않게; 간신히,"hardly, scarcely; just, only just"
7,strew,흩뿌리다,"scatter, sprinkle, disperse"
7,legitimately,"합법적으로, 정당하게","properly, lawfully, legally"
7,encapsulate,요약하다,"summarize, sum up, condense"
7,relatively,비교적으로,"comparatively, by comparison"
7,hazard,위험,"risk, danger, peril, jeopardy"
7,paramount,"최고의, 중요한","supreme, prime, chief"
7,unwieldy,(크기·무게 때문에) 다루기 힘든,"difficult to manage, awkward"
7,subsequent,그 다음의,"succeeding, following, later"
7,striking,현저한,"noticeable, remarkable, attention-getting"
7,extended,장기간에 걸친,"long-lasting, prolonged"
7,ephemeral,단명하는; 덧없는,short-lived; temporary
7,rigid,"엄격한; 굳은, 경직된","strict, exact, rigorous; stiff, hard, firm"
7,chief,주요한,"major, main, primary, principal"
7,severity,심함,seriousness
7,typical of,~을 대표하는,"characteristic of, representative of"
7,enable,가능하게 하다,"allow, permit, facilitate"
7,empirical,"실험상의, 실험에 의한","based on observation, experimental"
7,controversy,논쟁,"dispute, debate, disagreement, contention"
7,accomplish,성취하다,"achieve, execute, work out"
7,set,고정된; 놓다,"fixed, settled; situate, place, put"
7,lag,지연,delay
7,exude,(액체·냄새 등을) 발산하다,"give off, release, emit"
7,interplay,상호 작용,"interaction, reciprocity"
7,precede,~에 앞서다,"come before, antecede, forerun"
7,manipulation,조작,deliberate alteration
7,dry,건조한,"arid, rainless, parched"
7,assist with,~을 돕다,"help with, aid, support"
7,acute,극심한,"severe, intense, extreme"
7,article,물품,"object, item, article"
7,scrutiny,정밀 검사,"close observation, examination, inspection"
7,recompense,보상,"repayment, compensation"
7,reflect,나타내다; 숙고하다,"show, indicate, demonstrate; meditate, think, ponder"
7,immeasurably,대단히,"greatly, extremely"
7,rudiments,"기초, 기본","basics, elements, fundamentals"
7,mortality,사망,death
7,awkward,서투른,"clumsy, unskillful"
7,constrain,강요하다; 억제하다,"oblige, bind, force; inhibit, restrain, restrict"
7,turmoil,"소란, 동요","unrest, agitation, stir"
7,property,특성; 재산,"characteristic, character, quality; estate, possession"
7,fuel,연료를 공급하다; 자극하다,give energy to; encourage
7,majestic,"위엄 있는, 웅대한","magnificent, grand, august"
7,preeminent,뛰어난,"outstanding, distinguished, foremost"
7,crude,가공하지 않은,"rough, primitive, raw, unrefined"
7,variety,다양성; 종류,"diversity, multiplicity; type, species, sort"
7,typically,보통,"usually, normally, ordinarily"
7,supplementary,추가의,"additional, extra"
7,reduce,감소시키다,"decrease, diminish, cut"
7,subject,피실험자; (싫은 일 등을) 겪게 하다,participant; expose
7,flee,도망치다,"run away from, escape, abscond"
8,furthermore,게다가,"in addition, moreover"
8,proliferate,증식하다,"multiply, become numerous"
8,assess,평가하다,"evaluate, estimate, judge, appraise"
8,spur,자극; 자극하다,"stimulus, incitement, incentive; stimulate, prompt"
8,eclectic,"(취미·의견 등이) 폭넓은, 다방면의","diverse, various, manifold"
8,crucial,"결정적인, 중대한","decisive, important, essential, vital"
8,intricate,복잡한,"complex, complicated, elaborate"
8,palatial,"웅장한, 대궐 같은","magnificent, grand, majestic, splendid"
8,potent,(영향 등이) 강력한,"powerful, strong, influential"
8,extract,"끌어내다, 뽑아내다","draw, derive, remove"
8,course through,흐르다,run through
8,criterion,기준,"standard, measure, norm"
8,enjoy,즐겁게 경험하다,experience
8,inadvertently,무심코,"unintentionally, accidentally, unwittingly"
8,peril,위험,"danger, jeopardy, hazard"
8,arduous,힘든,"difficult, strenuous, laborious"
8,feat,위업,"achievement, accomplishment, exploit"
8,friction,"마찰, 불화","conflict, clash, discord, strife"
8,materialize,나타나다,"appear, emerge, loom"
8,regulate,조절하다,"adjust, control"
8,demise,"종말, 몰락","end, fall, collapse, downfall"
8,frankly,솔직히,"honestly, openly, truthfully"
8,immensely,굉장히,"extremely, excessively, incredibly"
8,deem,"생각하다, 여기다","consider, regard, believe"
8,consumption,"소비, 소모","use, utilization"
8,suspend,매달다,"hang, dangle, swing"
8,prevent,"막다, 방해하다","preclude, avoid, impede, avert"
8,authentic,진짜의,"genuine, true, real"
8,redundant,"불필요한, 장황한","superfluous, unnecessary; wordy, repetitious"
8,profuse,풍부한,"abundant, plentiful, copious"
8,ornament,장식하다,"decorate, adorn, embellish"
8,demolish,파괴하다,"destroy, wreck"
8,voracious,"만족할 줄 모르는, 탐욕적인","insatiable, greedy, gluttonous"
8,as well as,~뿐만 아니라,"in addition to, not to mention"
8,extreme,극심한; 지나친,"intense, severe; excessive"
8,reform,개혁; 개선하다,"betterment; amend, improve"
8,determinant,결정 요인,"cause, factor"
8,inclination,"경향, 기호","tendency, trend; preference, taste"
8,inflation,팽창,"expansion, swelling, enlargement"
8,routine,"틀에 박힌, 평범한","ordinary, normal, conventional"
8,accessible,"접근할 수 있는, 얻을 수 있는","reachable, obtainable"
8,constituent,구성 요소의,"component, elemental"
8,insolent,무례한,"impertinent, impudent, rude"
8,to be sure,틀림없이,"certainly, definitely, surely"
8,broadly,대체로,"generally, mostly"
8,echo,울리다; 반향하다; 흉내 내다; 되풀이하다,"reflect, resound; imitate; repeat"
8,shoddy,질이 떨어지는,"inferior, poor"
8,gear,맞게 조정하다,"adjust, adapt, change"
8,absorb,흡수하다,"take in, imbibe, soak up"
8,whereby,(그것에 의하여) ~하는,"through which, by which"
8,assemble,모으다,"gather together, collect"
8,liberate,해방하다,"free, release, loosen"
8,rational,합리적인,"logical, sensible, reasonable"
8,resistance,"반대, 저항","opposition, objection"
8,indefinite period,무기한,a period whose end has not been determined
8,ardent,열렬한,"enthusiastic, passionate, fervent"
8,extinct,멸종된,"having died out, defunct"
8,be accompanied by,~을 동반하다,occur together with
8,overestimated,과대평가된,bigger than actual value
9,initiate,시작하다,"start, begin, originate, commence"
9,tremendous,엄청난,"great, large, gigantic, huge"
9,breakthrough,큰 발전,"advance, progress"
9,cope with,~에 대처하다; ~을 다루다,"deal with, manage, handle"
9,inducement,"유인(책), 장려","incentive, incitement, lure"
9,irreversible,돌이킬 수 없는,"irreparable, irrevocable, irremediable"
9,comprise,포함하다; ~으로 구성되다,"include, encompass; consist of, be composed of"
9,culmination,"정점, 최고조","high point, apex, pinnacle"
9,allegiance,충성,"loyalty, fidelity, commitment"
9,notable,주목할 만한; 중요한,"remarkable, outstanding; important"
9,idiosyncrasy,"특징, 이상한 점","peculiarity, eccentricity, oddity"
9,minute,아주 작은,"tiny, very small, diminutive"
9,markedly,현저하게,"significantly, noticeably, considerably"
9,phenomenon,"현상, 사건","occurrence, incident"
9,disseminate,퍼뜨리다,"spread, disperse, distribute"
9,current,현재의,"present, existing"
9,detrimental,해로운,"harmful, injurious, damaging, pernicious"
9,presume,"~이라고 생각하다, 추정하다","believe, accept as true"
9,anarchy,"무질서, 혼란","disorder, chaos, disorganization"
9,snake,구불구불 가다,"wind, meander, curve, twist"
9,sophisticated,"정교한, 고도로 발달한","complex, highly developed"
9,derive,유래하다; 얻다,"originate, trace; obtain, gain"
9,sole,유일한,"only, single, solitary"
9,embellish,장식하다,"decorate, adorn, beautify, ornament"
9,antagonize,"~의 반감을 사다, 대항하다","anger, aggravate; counteract"
9,yearn,갈망하다,"long, desire, crave, pine"
9,permit,허락하다,"allow, let, approve"
9,scarcity,부족,"lack, shortage, insufficiency, deficiency"
9,renounce,"포기하다, 버리다","give up, reject, relinquish"
9,keep in check,"제어하다, 억제하다","limit, control, restrict, restrain"
9,subsistence,생존,"survival, existence, living"
9,annually,매년,"each year, yearly, every year"
9,emerge,나타나다,"appear, loom, spring up, develop"
9,customary,"습관적인, 관례적인","habitual, traditional, typical, accustomed"
9,widely,널리,"extensively, broadly"
9,assign,지정하다,"specify, designate, appoint"
9,equivocal,모호한,"ambiguous, vague, obscure, uncertain"
9,release,석방하다; 방출하다,"free, liberate, loose; emit, exude"
9,essentially,"기본적으로, 본질적으로","basically, fundamentally, primarily"
9,oversee,감독하다,"supervise, control, superintend"
9,rapidly,"급속히, 빨리","quickly, fast"
9,acknowledge,인정하다,"recognize, admit, accept"
9,rough,울퉁불퉁한; 거친,"uneven, rugged, bumpy, coarse"
9,preclude,막다; 배제하다,"prevent, stop, hinder; rule out, exclude"
9,portable,휴대용의,"able to be carried, mobile, movable"
9,presumable,"그럴듯한, 있음직한","probable, likely, possible"
9,calculatedly,계획적으로,"deliberately, intentionally, knowingly"
9,deviation,일탈,"departure, divergence, aberration"
9,hairline,아주 가느다란,"slight, thin"
9,formulate,고안하다; 명확히 말하다,"develop, devise, forge; state, specify"
9,astute,"통찰력 있는, 영악한","insightful, shrewd, clever, sharp"
