No.,Term,Korean Term,Definition,Korean Definition
33,basic interpersonal communication skills (BICS),기본 대인 의사소통 기술,"abilities that enable language users to function in everyday personal exchanges; context-embedded performance","언어 사용자가 일상적인 대인 교류에서 기능할 수 있게 하는 능력; 문맥 의존적인 언어 수행"
34,benchmarks,벤치마크 (기준),"see standards","standards 참조"
35,bilingual education,이중언어 교육,"classroom instruction in two languages for the same group of students; students receive some of their instruction in one language and some in the other, in varying proportions according to program type, instructional goals, and contextual influences","동일한 학생 집단을 대상으로 두 가지 언어로 진행되는 교실 수업; 학생들은 프로그램 유형, 교수 목표 및 맥락적 영향에 따라 다양한 비율로 두 언어를 나누어 수업을 받음"
36,bilingualism,이중언어 사용,"ability in two or more languages","두 개 이상의 언어를 구사하는 능력"
37,bottom-up processing,상향식 처리과정,"a focus on the ""bits and pieces"" of language, breaking language into component parts and giving them central focus, eventually working toward meaning","언어의 '작은 부분들'에 초점을 맞추어 요소별로 나누고 중심을 두어 최종적으로 의미 도출을 향해 나아가는 과정"
38,brainstorming,브레인스토밍,"open-ended, rapid-fire voluntary oral or written listing of ideas with no debate or evaluation by others","타인의 토론이나 평가 없이 아이디어를 신속하게 구두나 서면으로 나열하는 개방적이고 자발적인 활동"
39,bursts (in a dictation test),무리 (받아쓰기에서),"the length of word groups; see dictation","단어 그룹의 길이; dictation 참조"
40,CALL (Computer Assisted Language Learning),컴퓨터 보조 언어 학습,"the subfield of applied linguistics concerned with the use of computers for teaching and learning a second language; the application of computer technology to language learning and teaching","제2언어의 교수 및 학습에 컴퓨터를 사용하는 것과 관련된 응용 언어학의 하위 분야; 언어 학습 및 교수에 컴퓨터 기술을 적용하는 것"
41,clarification request,명료화 요구,"an elicitation of a reformulation or repetition from a student","학생에게 재구성이나 반복을 요구하는 발화 유도"
42,Classical Method,고전 교수법,"a language teaching method in which the focus is on grammatical rules, memorization of vocabulary and other language forms, translation of texts, and performing written exercises","문법 규칙, 어휘 및 기타 언어 형태의 암기, 텍스트 번역, 쓰기 연습에 초점을 맞춘 언어 교수법"
43,classroom language,교실 언어,"academic discourse typical of linguistic exchanges in classrooms between teacher and students and among students (e.g., in small group work), often involving directions, questions, discussions, agreeing and disagreeing","교사와 학생 간, 그리고 학생들 간의 교실 내 언어적 교류에서 전형적으로 나타나는 학문적 담화로 지시, 질문, 토론, 동의 및 반대 등을 포함함"
44,classroom management,교실 관리,"the process of ensuring that classroom lessons run smoothly considering a wide range of factors from the physical arrangement of a classroom, to teaching styles and philosophy, to classroom energy","교실의 물리적 배치부터 교수 스타일과 철학, 교실 분위기에 이르기까지 다양한 요소를 고려하여 교실 수업이 원활하게 진행되도록 보장하는 과정"
45,classroom research,교실 연구,"research into the ways in which classroom interaction patterns affect the teaching/learning process","교실 내 상호작용 패턴이 교수 및 학습 과정에 미치는 방식에 대한 연구"
46,classroom-based assessment,교실 기반 평가,"activities and instruments, usually created by teachers or students, that provide evaluative information to be used as feedback on students' performance","학생의 수행에 대한 피드백으로 사용될 평가 정보를 제공하기 위해 주로 교사나 학생이 만든 활동 및 도구"
47,cloze,클로즈 (빈칸 메우기),"a text in which words are deleted and the test-taker must provide a word that fits the blank space; appropriate-word scoring: a scoring method that accepts a suitable, grammatically and rhetorically acceptable word that fits the blank space in the original text; exact-word scoring: a scoring method that is limited to accepting the same word found in the original text; fixed-ratio deletion: every nth (e.g., sixth or seventh) word is deleted in a text; listening cloze: a cloze test that requires the test-taker to listen to a cloze passage while reading it; also known as cloze dictation, partial dictation; rational deletion: words are deleted in a text on a rational basis (e.g., prepositions, sentence connectors) to assess specified grammatical or rhetorical categories","단어가 삭제되어 수험자가 빈칸에 알맞은 단어를 채우는 텍스트; 적절한 단어 채점(문법적/수사학적으로 허용되는 단어 인정), 정확한 단어 채점(원문과 동일한 단어만 인정), 고정 비율 삭제(n번째 단어 삭제), 듣기 클로즈, 합리적 삭제(특정 문법을 평가하기 위해 전치사 등을 삭제) 방식 등이 있음"
48,code-switching,코드 전환,"in bilinguals, the act of inserting words, phrases, or even longer stretches of one language into another","이중언어 사용자가 한 언어에 다른 언어의 단어, 구, 혹은 더 긴 문장을 삽입하는 행위"
49,cognitive pruning,인지적 가지치기,"the elimination of unnecessary clutter and a clearing of the way for more material to enter the cognitive field","불필요한 혼란을 제거하고 인지 영역에 더 많은 정보가 들어올 수 있도록 길을 정리하는 것"
50,collaboration,협동 (협력),"the process of learners working together (as opposed to individually) with their classmates in reaching goals of a task, solving problems, practicing language, etc.","과업 목표 달성, 문제 해결, 언어 연습 등을 위해 학습자들이 학급 친구들과 함께 협동하는 과정"
51,collocation,연어,"a sequence of words or terms that co-occur more often than would be expected by chance, such as ""iron will,"" ""zero tolerance,"" and ""sugar and cream""","""iron will"", ""zero tolerance""와 같이 우연히 예상되는 것보다 더 자주 함께 등장하는 단어나 용어의 연속"
52,communicative,의사소통적인,"student responses are meaningful, real-world related, open-ended, and unpredictable","학생의 반응이 유의미하고, 실생활과 관련되며, 개방적이고, 예측 불가능한 성격을 띰"
53,communicative competence (CC),의사소통 능력,"the cluster of abilities that enable humans to convey and interpret messages and to negotiate meanings interpersonally within specific contexts","인간이 특정 맥락 내에서 대인 간 메시지를 전달/해석하고 의미를 협상할 수 있게 하는 능력의 집합"
54,Communicative Language Teaching (CLT),의사소통 중심 언어 교수법,"an approach to language teaching methodology that emphasizes authenticity, interaction, student-centered learning, task-based activities, and communication for real-world, meaningful purposes","실제성, 상호작용, 학습자 중심 학습, 과업 기반 활동 및 실생활의 유의미한 목적을 위한 의사소통을 강조하는 언어 교수 방법론에 대한 접근법"
55,communicative language test,의사소통 언어 평가,"assessment that incorporates authentic, meaningful, real-world tasks","실제적이고 유의미한 실생활 과업을 포함하는 평가"
56,communicative test,의사소통 평가,"a test that elicits a test-taker's ability to use language that is meaningful and authentic","수험자가 유의미하고 실제적인 언어를 사용하는 능력을 이끌어내는 시험"
57,Community Language Learning (CLL),공동체 언어 학습,"language teaching method that emphasizes interpersonal relationships, inductive learning, and views the teacher as a ""counselor""","대인 관계와 귀납적 학습을 강조하며 교사를 '상담자'로 간주하는 언어 교수법"
58,community of practice (COP),실행 공동체,"group of people who share a common interest in a particular domain, characterized by mutual engagement, joint enterprise, and shared repertoire","상호 참여, 공동 과업, 공유된 레퍼토리로 특징지어지며 특정 영역에서 공통의 관심사를 공유하는 사람들의 집단"
59,compensatory strategies,보상 전략,"strategic options designed to overcome self-perceived weakness, such as using prefabricated patterns, code-switching, and appeal to authority","조립된 패턴 사용, 코드 전환, 권위에 호소하기 등 스스로 인지한 약점을 극복하기 위해 설계된 전략적 선택"
60,competence,능력 (언어 능력),"one's hypothesized (empirically unobservable) underlying ability to perform language","언어를 수행하는 개인의 가설적(경험적으로 관찰할 수 없는) 잠재적 능력"
61,composing,작문 과정,"the thinking, drafting, and revising procedures involved in planned writing","계획된 글쓰기에 수반되는 사고, 초고 작성 및 수정 절차"
62,compound noun,복합 명사,"a noun that is made up of two or more words; in English these are formed by nouns modified by other nouns or adjectives","두 개 이상의 단어로 구성된 명사; 영어에서는 다른 명사나 형용사로 수식되는 명사로 형성됨"
63,computer-adaptive test (CAT),컴퓨터 적응형 평가,"instruments in which test-takers receive a set of questions that meet test specifications and that are generally appropriate for their performance level","수험자가 평가 명세에 부합하며 자신의 수행 수준에 적절한 일련의 질문을 받는 평가 도구"
64,computer-mediated communication (CMC),컴퓨터 매개 의사소통,"communication through the use of two or more electronic devices such as computers, tablet PCs, and smart phones; commonly used formats are e-mail, video, audio, or text chatting supported by social software (applications)","컴퓨터, 태블릿 PC 등 두 개 이상의 전자기기를 통한 의사소통; 이메일, 비디오, 오디오 또는 텍스트 채팅 형식 사용"
65,conceptually driven processing,개념 주도 처리과정,"same as top-down processing","top-down processing(하향식 처리과정)과 동일"
66,concordancing,용례 검색 (콘코던싱),"indexing of words that enables one to reference words in the multiple possible contexts in which they appear in spoken or written language","단어가 구어나 문어에서 나타날 수 있는 다양한 맥락에서 단어를 참조할 수 있게 해주는 단어 색인"
67,concurrent validity,공인 타당도,"see validity","validity 참조"
68,consciousness-raising,의식 고양,"drawing students' attention to formal elements of language within the context of meaningful communication and tasks","유의미한 의사소통 및 과업의 맥락 내에서 언어의 형태적 요소에 대한 학생들의 주의를 끄는 것"
69,consequential validity,결과 타당도,"see validity","validity 참조"
70,construct,구성 개념 (구인),"the specific definition of an ability; this is often not directly measurable (e.g., fluency) but can be inferred from observation","능력에 대한 구체적인 정의; 이는 직접 측정할 수 없는 경우가 많지만 관찰을 통해 추론할 수 있음"
71,construct validity (of a test),구인 타당도,"the extent to which a test actually taps into the theoretical construct that it proposes to assess","시험이 평가하고자 제안하는 이론적 구인을 실제로 얼마나 잘 측정하는지의 정도"
72,content schemata,내용 스키마,"what we know about people, the world, culture, and the universe","사람, 세계, 문화, 우주에 대해 우리가 알고 있는 배경지식"
73,content validity (of a test),내용 타당도,"the extent to which test tasks actually sample the subject matter about which conclusions are to be drawn","시험 과업이 결론을 도출하고자 하는 주제를 실제로 얼마나 잘 표집했는지의 정도"
74,content word,내용어,"a word that has meaning, such as a noun, main verb, adjective, and adverb; as opposed to function word","명사, 본동사, 형용사, 부사 등 의미를 가진 단어; 기능어(function word)와 반대됨"
75,content-based language teaching (CBLT),내용 중심 언어 교수법,"an umbrella term for a multifaceted approach to L2 language teaching that integrates language teaching aims with content instruction","언어 교수 목표를 내용 수업과 통합하는 제2언어 교수에 대한 다각적 접근법을 통칭하는 포괄적 용어"
76,content-related validity,내용 관련 타당도,"see validity","validity 참조"
77,context-embedded language,문맥 의존적 언어,"language forms and functions that are embedded in a set of schemata within which the learner can operate, as in meaningful conversations, real-life tasks, and extensive reading","유의미한 대화나 실생활 과업 등 학습자가 조작할 수 있는 일련의 스키마 내에 내재된 언어 형태와 기능"
78,context-reduced language,문맥 축소적 언어,"language forms and functions that lack a set of embedded schemata within which the learner can operate, as in the traditional test items, isolated reading excerpts, and repetition drills","전통적인 평가 문항 등 학습자가 조작할 수 있는 내재된 스키마가 부족한 언어 형태와 기능"
79,contrastive rhetoric,대조 수사학,"L1 schemata and patterns of thinking and writing can carry over into L2 writing (see intercultural rhetoric)","모국어의 스키마와 사고 및 글쓰기 패턴이 제2언어 글쓰기로 전이될 수 있다는 개념"
80,controlled process,통제된 처리과정,"capacity limited and temporary cognitive efforts, as opposed to automatic process","자동적 처리과정과 반대되는 것으로, 용량이 제한적이고 일시적인 인지적 노력"
81,controlled writing,통제 작문,"teachers typically present a short text to students in which they must alter a given structure throughout (e.g., convert present to past tense)","교사가 학생들에게 짧은 텍스트를 제시하고, 학생들은 텍스트 전반에 걸쳐 주어진 구조를 변경해야 하는 작문"
82,controlled-response task,통제 반응 과업,"a task that limits the amount of language that is produced; for example, in a controlled writing task, a number of grammatical or lexical constraints apply","산출되는 언어의 양을 제한하는 과업; 예를 들어, 통제 작문에서는 여러 문법적, 어휘적 제약이 적용됨"
83,cooperative learning,협동 학습,"model of education in which students work together in pairs and groups, share information, and come to each other's aid, as opposed to teacher-centered instruction (see learner-centered instruction)","교사 중심 교육과 반대로, 학생들이 짝이나 그룹으로 함께 작업하고 정보를 공유하며 서로 돕는 교육 모델"
84,corpus linguistics,코퍼스 언어학 (말뭉치 언어학),"an approach to linguistic research that relies on computer analyses of a collection, or corpus, of texts-written, transcribed speech, or both-stored in electronic form and analyzed with digital software","전자 형식으로 저장되고 디지털 소프트웨어로 분석되는 글이나 전사된 구어의 모음집인 코퍼스에 대한 컴퓨터 분석에 의존하는 언어학 연구 접근법"
85,corpus-based teaching,코퍼스 기반 교수법,"using corpora to inform curriculum and lesson designs (see corpus linguistics)","교육과정 및 수업 설계에 정보를 제공하기 위해 코퍼스를 사용하는 교수법"
86,corrective feedback,교정적 피드백,"responses to a learner's output that attempt to repair or call attention to an error or mistake","오류나 실수를 수정하거나 이에 주의를 환기시키려는 학습자의 발화 산출물에 대한 반응"
87,course,코스 (교육 과정),"a unified series of classes over a determined period of time, centered on a particular subject in an educational institution","교육 기관에서 특정 주제를 중심으로 정해진 기간 동안 진행되는 일련의 통합된 수업"
88,course management system (CMS),학습 관리 시스템,"a software application for administering, documenting, tracking, reporting, and delivering e-learning education courses or training programs","이러닝 교육 과정이나 훈련 프로그램을 관리, 기록, 추적 및 전달하기 위한 소프트웨어 애플리케이션"
89,covert error,암시적 오류,"an error that is grammatically well formed at the sentence level but not interpretable within the context of communication; discourse error","문장 수준에서는 문법적으로 올바르나 의사소통 상황에서는 해석할 수 없는 오류; 담화 오류"
90,creative construction,창조적 구성,"the hypothesis, in child second language acquisition, that claims the rarity of L1 interference, the emergence of common acquisition orders, perception of systematic features of language, and the production of novel utterances","아동 제2언어 습득에서 모국어 간섭의 희귀성, 공통적인 습득 순서의 출현, 새로운 발화의 산출 등을 주장하는 가설"
91,criterion-referenced test,준거 참조 평가,"a test designed to give test-takers feedback, usually in the form of grades, on specific courses or lesson objectives; the distribution of students' scores across a continuum may be of little concern","특정 코스나 수업 목표에 대해 수험자에게 (주로 성적의 형태로) 피드백을 주도록 설계된 평가; 학생 점수의 분포는 거의 중요하지 않음"
92,criterion-related validity,준거 관련 타당도,"see validity","validity 참조"
93,critical language assessment,비판적 언어 평가,"the recognition that tests represent a social technology deeply embedded in education, government, and business, and as such, they provide the mechanism for enforcing power and control","평가가 교육, 정부 등에 깊이 뿌리박힌 사회적 기술이며, 권력과 통제를 집행하는 메커니즘을 제공한다는 인식"
94,critical language testing,비판적 언어 테스팅,"a movement to examine possible covert social and political roles of language tests","언어 평가의 잠재적이고 암묵적인 사회적, 정치적 역할을 조사하려는 움직임"
95,critical pedagogy,비판적 교육학,"a view of learning and teaching as deeply embedded in social, political, and ideological mores, and motivated by our beliefs about education and its place in society","학습과 교수가 사회적, 정치적 관습에 깊이 내재되어 있으며 교육에 대한 우리의 신념에 의해 동기화된다고 보는 관점"
96,curriculum,교육과정 (커리큘럼),"a course of study that includes specifications of topics, forms, assignments, and schedules for completion; also, a group of separate courses within a program (see syllabus)","주제, 형식, 과제 및 완료 일정에 대한 명세가 포함된 학습 과정; 또한 프로그램 내의 개별 코스 그룹"
97,data-driven processing,데이터 주도 처리과정,"same as bottom-up processing","bottom-up processing과 동일"
98,debilitative anxiety,방해 불안 (저해 불안),"feelings of worry that are perceived as detrimental to one's self-efficacy or that hinder one's performance","자아 효능감에 해롭다고 인식되거나 수행을 방해하는 걱정의 감정"
99,declarative knowledge,선언적 지식,"consciously known and verbalizable facts, knowledge, and information (in linguistics, about language).","의식적으로 알고 있고 언어로 표현할 수 있는 사실, 지식 및 정보"
100,deductive reasoning,연역적 추론,"moving from a generalization to specific instances in which subsumed facts are inferred from a general principle.","일반 원리로부터 포섭된 사실을 추론하여 일반화에서 구체적인 사례로 이동하는 것"
101,demotivation,동기 저하,"losing interest and drive that once was present.","한때 존재했던 흥미와 추진력을 잃는 것"
102,diagnostic test,진단 평가,"an assessment instrument designed to analyze a test-taker's strengths and weaknesses in terms of grammar, pronunciation, fluency, discourse, or other targeted linguistic features","문법, 발음, 유창성, 담화 등 목표 언어의 특징 측면에서 수험자의 강점과 약점을 분석하도록 설계된 평가 도구"
103,dialogical cosmopolitanism,대화적 세계주의,"the ideology that persons can belong to a single community through mutual collaboration and acceptance of all members' varying cultures, ideas, values, etc.","모든 구성원의 다양한 문화, 사상 등을 상호 협력하고 수용함으로써 개인들이 단일 공동체에 속할 수 있다는 이념"
104,dialogue journal,대화 저널,"an ongoing written interaction between two people to exchange experiences, ideas, knowledge or reflections","경험, 아이디어나 성찰을 교환하기 위해 두 사람 간에 지속적으로 이루어지는 서면 상호작용"
105,dichotomous scoring,이분법적 채점,"a method of scoring that considers a test-taker's response as either correct or incorrect, sometimes assigned as a 0 or 1","수험자의 응답을 정답 또는 오답으로만 간주하는 채점 방식으로 보통 0점이나 1점이 부여됨"
106,dictation,받아쓰기,"a method of assessment in which test-takers listen to a text and write down what they hear","수험자가 텍스트를 듣고 들은 내용을 받아 적는 평가 방법"
107,dicto-comp,딕토콤 (받아쓰고 작문하기),"a variant of dictation whereby test-takers listen to a relatively long text (e.g., a paragraph of several sentences or more) and try to internalize the content, some phrases, and/or key lexical items and then use them to re-create the text","수험자가 비교적 긴 텍스트를 듣고 내용과 핵심 어휘를 내면화한 다음, 이를 사용하여 텍스트를 재구성하려는 받아쓰기의 변형"
108,Direct Method,직접 교수법,"a language teaching method popular in the early twentieth century that emphasized direct target language use, oral communication skills, and inductive grammar, without recourse to translation from the first language","모국어로부터의 번역에 의존하지 않고 목표어의 직접 사용, 구두 의사소통 기술, 귀납적 문법을 강조한 20세기 초 언어 교수법"
109,direct testing,직접 평가,"an assessment method in which the test-taker actually performs the target task; as opposed to indirect testing","수험자가 실제로 목표 과업을 수행하는 평가 방법; 간접 평가와 반대됨"
110,directive (approaches to teaching),지시적 (교수 접근법),"the teacher is more in control of lessons than students","교사가 학생보다 수업을 더 주도적으로 통제하는 교수법"
111,discourse,담화,"an instance of spoken or written language with describable internal relationships of form and meaning (e.g., words, structures, cohesion) that relate coherently to an external communicative function or purpose and a given audience or interlocutor; a language (either spoken or written) beyond the sentence level; relationships and rules that govern the connection and interrelationship of sentences within communicative contexts.","외부 의사소통 기능이나 주어진 청자와 일관되게 관련되는 내부 관계를 가진 구어나 문어의 한 사례; 문장 수준을 넘어서는 언어; 의사소통 맥락 내에서 문장들의 연결 규칙"
112,discourse analysis,담화 분석,"the examination of the relationship between forms and functions of language beyond the sentence level","문장 수준을 넘어서는 언어의 형태와 기능 간의 관계를 검토하는 것"
113,discourse competence,담화 능력,"the ability to connect sentences in stretches of discourse and to form a meaningful whole out of a series of utterances.","담화의 연속성 안에서 문장들을 연결하고 일련의 발화들로부터 유의미한 전체를 형성하는 능력"
114,discourse completion tasks,담화 완성 과업,"techniques used in the study of linguistics and pragmatics to elicit particular speech acts","특정 화행을 이끌어내기 위해 언어학 및 화용론 연구에서 사용되는 기법"
115,discovery learning,발견 학습,"the concept that when learners are spurred to induce language or other content, as opposed to being told by the teacher, greater retention results","교사가 직접 알려주는 것과 반대로 학습자가 스스로 언어나 내용을 유도하도록 자극받을 때 기억에 더 오래 남는다는 개념"
116,discrete point testing,분리 평가,"assessment on the assumption that language could be broken down into its component parts and those parts adequately tested","언어가 구성 요소로 분해될 수 있으며 이러한 부분들이 적절하게 평가될 수 있다는 가정에 기반한 평가"
117,discrete-point test,분리 평가 (시험),"assessments designed on the assumption that language can be broken down into its component parts and that those parts can be tested successfully","언어가 요소로 분해될 수 있으며 이러한 요소들이 성공적으로 평가될 수 있다는 가정 하에 설계된 평가"
118,display question,전시성 질문,"an attempt to elicit information already known by the teacher","교사가 이미 알고 있는 정보를 학생으로부터 이끌어내려는 시도"
119,display writing,전시성 작문,"primarily for the display of a student's knowledge, as opposed to real writing","실제적 작문과 반대로 주로 학생의 지식을 보여주기 위한 목적의 작문"
120,distractor efficiency,매력도 (오답의 효율성),"the effectiveness of the distractor to attract a test-taker away from the correct response","수험자를 정답에서 멀어지게 유도하는 오답지(매력적 오답)의 효과성"
121,distractors,오답지 (매력적 오답),"in a multiple-choice item, responses used to divert or distract the test-taker from the correct response","선다형 문항에서 수험자가 정답에서 주의를 돌리게 하는 데 사용되는 선택지들"
122,drill,반복 훈련 (드릴),"a mechanical technique focusing on a minimal number of language forms through repetition","반복을 통해 최소한의 언어 형태에 초점을 맞추는 기계적인 기법"
123,dynamic assessment,역동적 평가,"promoting, through feedback or other forms of support, learner development in the abilities being assessed","피드백이나 다른 지원을 통해 평가되는 능력에 있어서 학습자의 발달을 촉진하는 평가"
124,elicitation,유도해내기,"a corrective technique that prompts the learner to self-correct","학습자가 스스로 수정하도록 유도하는 오류 수정 기법"
125,elicited response,유도된 반응,"behavior resulting from a preceding outside stimulus.","선행하는 외부 자극의 결과로 나타나는 행동"
126,embodied cognition,체화된 인지,"the concept that an organism's sensorimotor capacities, body, and environment play crucial roles in the development of cognitive and linguistic abilities","유기체의 감각운동 능력, 신체, 환경이 인지적 및 언어적 능력 발달에 중요한 역할을 한다는 개념"
127,emergent stage,출현 단계 (창발적 단계),"(of learner language) one in which the learner grows in consistency in linguistic production","(학습자 언어에서) 학습자가 언어 산출의 일관성 측면에서 성장하는 단계"
128,emitted response,자발적 반응 (방출된 반응),"behavior freely offered without the presence of an outside stimulus.","외부 자극의 존재 없이 자유롭게 제공되는 행동"
129,enabling objectives,세부 목표,"interim steps within a lesson that build upon each other and ultimately lead to a terminal objective","서로를 기반으로 구축되며 궁극적으로 최종 목표로 이어지는 수업 내 중간 목표들"
130,English as a foreign language (EFL),외국어로서의 영어,"generic term for English learned as a foreign language in a country or context in which English is not commonly used as a language of education, business, or government, e.g., expanding circle countries.","영어가 교육이나 비즈니스의 언어로 흔히 사용되지 않는 환경에서 외국어로서 학습되는 영어를 지칭하는 포괄적 용어"
131,English as a second language (ESL),제2언어로서의 영어,"generic term for English learned as a foreign language within the culture of an English-speaking (inner circle) country.","영어권 국가의 문화 내에서 외국어로 학습되는 영어를 지칭하는 포괄적 용어"
